Quantify Compound Summary Report ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Printed Thu Aug 07 17:41:28 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compound 1:  17-Hydroxyprogesterone,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
1,1,20250805-COL-04,s1,s1,0.05,6.14,9859,46354,0.213,0.052,4.2,Standard,bb
2,2,20250805-COL-05,s2,s2,0.1,6.13,22194,61508,0.361,0.091,-9,Standard,bb
3,3,20250805-COL-06,s3,s3,0.25,6.13,55096,57760,0.954,0.247,-1.4,Standard,bb
4,4,20250805-COL-07,s4,s4,0.5,6.13,116170,58015,2,0.522,4.3,Standard,bb
5,5,20250805-COL-08,s5,s5,2.5,6.13,643927,62015,10.4,2.721,8.8,Standard,bb
6,6,20250805-COL-09,s6,s6,12.5,6.13,2885128,60682,47.5,12.472,-0.2,Standard,bb
7,7,20250805-COL-10,s7,s7,25,6.13,5956194,67041,88.8,23.31,-6.8,Standard,bb
8,8,20250805-COL-11,q1,q1,0.18,6.13,43832,68274,0.642,0.165,-8.5,QC,bb
9,9,20250805-COL-12,q2,q2,18.75,6.13,4046905,58458,69.2,18.162,-3.1,QC,bb
10,10,20250802-hormore-50,1075,1075,,6.13,4522,17824,0.254,0.063,,,bb
11,11,20250802-hormore-51,1076,1076,,6.13,8981,20704,0.434,0.11,,,bb
12,12,20250802-hormore-52,1077,1077,,6.12,28244,25653,1.1,0.285,,,bb
13,13,20250802-hormore-53,1079,1079,,6.13,129037,22978,5.62,1.47,,,bb
14,14,20250802-hormore-54,1080,1080,,6.12,10557,26797,0.394,0.1,,,bb
15,15,20250802-hormore-55,1083,1083,,6.12,18147,34111,0.532,0.136,,,bb
16,16,20250802-hormore-56,1084,1084,,6.12,15425,36861,0.418,0.106,,,bb
17,17,20250802-hormore-57,1087,1087,,6.12,11061,25112,0.44,0.112,,,bb
18,18,20250802-hormore-58,1090,1090,,6.12,16014,38513,0.416,0.105,,,bb
