Quantify Compound Summary Report ,,,,,,,,,,,,,
,,,,,,,,,,,,,
Printed Thu Aug 07 17:38:27 2025,,,,,,,,,,,,,
,,,,,,,,,,,,,
Compound 1:  Melatonin,,,,,,,,,,,,,
,,,,,,,,,,,,,
,#,Name,Sample Text,ID,Std. Conc,RT,Area,IS Area,Response,Conc.,%Dev,Type,Primary Flags
1,1,20250805-COL-04,s1,s1,2,1.69,1065,24099,0.0442,1.954,-2.3,Standard,MM
2,2,20250805-COL-05,s2,s2,4,1.68,3699,30106,0.123,4.191,4.8,Standard,bb
3,3,20250805-COL-06,s3,s3,20,1.69,19995,30006,0.666,19.646,-1.8,Standard,bb
4,4,20250805-COL-07,s4,s4,80,1.68,81645,28173,2.9,83.103,3.9,Standard,bb
5,5,20250805-COL-08,s5,s5,400,1.68,400383,29465,13.6,387.087,-3.2,Standard,bb
6,6,20250805-COL-09,s6,s6,800,1.68,857330,28845,29.7,845.862,5.7,Standard,bb
7,7,20250805-COL-10,s7,s7,2000,1.68,2050032,31380,65.3,1858.336,-7.1,Standard,bb
8,8,20250805-COL-11,q1,q1,7,1.68,6619,30013,0.221,6.968,-0.5,QC,bb
9,9,20250805-COL-12,q2,q2,1500,1.69,1502899,31774,47.3,1345.671,-10.3,QC,bb
10,10,20250802-hormore-50,1075,1075,,1.69,10404,44421,0.234,7.357,,,bb
11,11,20250802-hormore-51,1076,1076,,1.68,2304,36121,0.0638,2.511,,,bb
12,12,20250802-hormore-52,1077,1077,,1.69,2292,38181,0.06,2.404,,,bb
13,13,20250802-hormore-53,1079,1079,,1.69,5115,28829,0.177,5.742,,,bb
14,14,20250802-hormore-54,1080,1080,,1.69,1165,35982,0.0324,1.618,,,MM
15,15,20250802-hormore-55,1083,1083,,1.69,15200,31547,0.482,14.398,,,bb
16,16,20250802-hormore-56,1084,1084,,1.69,1874,31830,0.0589,2.371,,,bb
17,17,20250802-hormore-57,1087,1087,,1.69,2613,35715,0.0732,2.778,,,bb
18,18,20250802-hormore-58,1090,1090,,1.69,2534,33423,0.0758,2.853,,,bb
19,19,20250802-hormore-59,1092,1092,,1.69,1086,35801,0.0303,1.559,,,bb
20,20,20250802-hormore-60,1093,1093,,1.69,1137,31163,0.0365,1.734,,,bb
21,21,20250802-hormore-61,1094,1094,,1.69,2136,33013,0.0647,2.537,,,bb
22,22,20250802-hormore-62,1095,1095,,1.69,1204,34930,0.0345,1.677,,,bb
23,23,20250802-hormore-63,1096,1096,,1.68,1511,37225,0.0406,1.852,,,bb
